[INFO] 2020-12-07 19:02:36,323: ---
Name: DCGAN_CelebA
Device: cuda:0
Debug: False
---
Epochs: 100
Batch Size: 128
Num Worker: 8
---

[INFO] 2020-12-07 19:06:19,517:  > D-Loss:5.135, G-Loss:0.635
[INFO] 2020-12-07 19:09:55,749:  > D-Loss:3.401, G-Loss:0.673
[INFO] 2020-12-07 19:13:31,579:  > D-Loss:2.642, G-Loss:0.756
[INFO] 2020-12-07 19:17:07,341:  > D-Loss:2.540, G-Loss:0.786
[INFO] 2020-12-07 19:20:43,871:  > D-Loss:2.532, G-Loss:0.769
[INFO] 2020-12-07 19:24:19,917:  > D-Loss:2.568, G-Loss:0.747
[INFO] 2020-12-07 19:27:49,610:  > D-Loss:2.629, G-Loss:0.699
[INFO] 2020-12-07 19:31:23,623:  > D-Loss:2.717, G-Loss:0.665
[INFO] 2020-12-07 19:34:54,543:  > D-Loss:2.801, G-Loss:0.641
[INFO] 2020-12-07 19:38:31,779:  > D-Loss:2.942, G-Loss:0.578
[INFO] 2020-12-07 19:42:07,486:  > D-Loss:3.118, G-Loss:0.545
[INFO] 2020-12-07 19:45:44,523:  > D-Loss:3.229, G-Loss:0.522
[INFO] 2020-12-07 19:49:20,514:  > D-Loss:3.445, G-Loss:0.452
[INFO] 2020-12-07 19:52:57,472:  > D-Loss:3.529, G-Loss:0.445
[INFO] 2020-12-07 19:56:34,495:  > D-Loss:3.651, G-Loss:0.446
[INFO] 2020-12-07 20:00:11,424:  > D-Loss:3.635, G-Loss:0.457
[INFO] 2020-12-07 20:03:48,166:  > D-Loss:3.858, G-Loss:0.397
[INFO] 2020-12-07 20:07:24,296:  > D-Loss:3.897, G-Loss:0.401
[INFO] 2020-12-07 20:11:01,680:  > D-Loss:4.222, G-Loss:0.319
[INFO] 2020-12-07 20:14:38,378:  > D-Loss:4.212, G-Loss:0.368
[INFO] 2020-12-07 20:18:08,218:  > D-Loss:4.137, G-Loss:0.381
[INFO] 2020-12-07 20:21:43,148:  > D-Loss:4.417, G-Loss:0.304
[INFO] 2020-12-07 20:25:14,110:  > D-Loss:3.990, G-Loss:0.446
[INFO] 2020-12-07 20:28:50,557:  > D-Loss:4.488, G-Loss:0.285
[INFO] 2020-12-07 20:32:28,063:  > D-Loss:4.383, G-Loss:0.351
[INFO] 2020-12-07 20:36:04,830:  > D-Loss:4.606, G-Loss:0.278
[INFO] 2020-12-07 20:39:42,573:  > D-Loss:4.485, G-Loss:0.342
[INFO] 2020-12-07 20:43:20,117:  > D-Loss:4.551, G-Loss:0.332
[INFO] 2020-12-07 20:46:56,107:  > D-Loss:4.722, G-Loss:0.307
[INFO] 2020-12-07 20:50:32,421:  > D-Loss:4.521, G-Loss:0.317
[INFO] 2020-12-07 20:54:09,669:  > D-Loss:4.550, G-Loss:0.312
[INFO] 2020-12-07 20:57:46,360:  > D-Loss:4.657, G-Loss:0.357
[INFO] 2020-12-07 21:01:22,389:  > D-Loss:4.802, G-Loss:0.253
[INFO] 2020-12-07 21:04:58,796:  > D-Loss:4.965, G-Loss:0.245
[INFO] 2020-12-07 21:08:28,636:  > D-Loss:4.729, G-Loss:0.305
[INFO] 2020-12-07 21:12:03,411:  > D-Loss:4.882, G-Loss:0.282
[INFO] 2020-12-07 21:15:33,630:  > D-Loss:5.076, G-Loss:0.259
[INFO] 2020-12-07 21:19:10,382:  > D-Loss:5.132, G-Loss:0.205
[INFO] 2020-12-07 21:22:46,864:  > D-Loss:5.020, G-Loss:0.285
[INFO] 2020-12-07 21:26:23,718:  > D-Loss:5.009, G-Loss:0.266
[INFO] 2020-12-07 21:30:00,234:  > D-Loss:5.076, G-Loss:0.258
[INFO] 2020-12-07 21:33:36,496:  > D-Loss:5.129, G-Loss:0.247
[INFO] 2020-12-07 21:37:13,250:  > D-Loss:5.347, G-Loss:0.204
[INFO] 2020-12-07 21:40:49,847:  > D-Loss:5.006, G-Loss:0.281
[INFO] 2020-12-07 21:44:26,309:  > D-Loss:5.256, G-Loss:0.216
[INFO] 2020-12-07 21:48:02,889:  > D-Loss:5.250, G-Loss:0.255
[INFO] 2020-12-07 21:51:39,185:  > D-Loss:5.444, G-Loss:0.204
[INFO] 2020-12-07 21:55:15,585:  > D-Loss:5.464, G-Loss:0.204
[INFO] 2020-12-07 21:58:47,405:  > D-Loss:5.524, G-Loss:0.205
[INFO] 2020-12-07 22:02:21,321:  > D-Loss:5.552, G-Loss:0.194
[INFO] 2020-12-07 22:05:51,264:  > D-Loss:5.370, G-Loss:0.230
[INFO] 2020-12-07 22:09:26,088:  > D-Loss:5.689, G-Loss:0.186
[INFO] 2020-12-07 22:13:01,818:  > D-Loss:5.398, G-Loss:0.236
[INFO] 2020-12-07 22:16:38,204:  > D-Loss:5.613, G-Loss:0.195
[INFO] 2020-12-07 22:20:14,513:  > D-Loss:5.581, G-Loss:0.212
[INFO] 2020-12-07 22:23:50,606:  > D-Loss:5.850, G-Loss:0.173
[INFO] 2020-12-07 22:27:26,815:  > D-Loss:5.599, G-Loss:0.206
[INFO] 2020-12-07 22:31:03,226:  > D-Loss:5.876, G-Loss:0.174
[INFO] 2020-12-07 22:34:39,321:  > D-Loss:5.947, G-Loss:0.162
[INFO] 2020-12-07 22:38:15,510:  > D-Loss:5.758, G-Loss:0.182
[INFO] 2020-12-07 22:41:51,900:  > D-Loss:5.749, G-Loss:0.196
[INFO] 2020-12-07 22:45:28,131:  > D-Loss:5.869, G-Loss:0.182
[INFO] 2020-12-07 22:49:03,855:  > D-Loss:5.750, G-Loss:0.209
[INFO] 2020-12-07 22:52:35,117:  > D-Loss:5.741, G-Loss:0.173
[INFO] 2020-12-07 22:56:08,385:  > D-Loss:6.030, G-Loss:0.157
[INFO] 2020-12-07 22:59:39,936:  > D-Loss:28.300, G-Loss:0.008
[INFO] 2020-12-07 23:03:16,116:  > D-Loss:46.411, G-Loss:0.000
[INFO] 2020-12-07 23:06:53,189:  > D-Loss:56.833, G-Loss:0.000
[INFO] 2020-12-07 23:10:28,941:  > D-Loss:56.720, G-Loss:0.000
[INFO] 2020-12-07 23:14:05,024:  > D-Loss:56.568, G-Loss:0.000
[INFO] 2020-12-07 23:17:40,655:  > D-Loss:58.389, G-Loss:0.125
[INFO] 2020-12-07 23:21:15,373:  > D-Loss:80.139, G-Loss:0.000
[INFO] 2020-12-07 23:24:50,383:  > D-Loss:80.181, G-Loss:0.000
[INFO] 2020-12-07 23:28:25,833:  > D-Loss:80.142, G-Loss:0.000
[INFO] 2020-12-07 23:32:00,675:  > D-Loss:80.113, G-Loss:0.000
[INFO] 2020-12-07 23:35:35,512:  > D-Loss:80.106, G-Loss:0.000
[INFO] 2020-12-07 23:39:10,731:  > D-Loss:80.020, G-Loss:0.000
[INFO] 2020-12-07 23:42:40,795:  > D-Loss:80.057, G-Loss:0.000
[INFO] 2020-12-07 23:46:12,054:  > D-Loss:80.025, G-Loss:0.000
[INFO] 2020-12-07 23:49:42,018:  > D-Loss:80.033, G-Loss:0.000
[INFO] 2020-12-07 23:53:13,132:  > D-Loss:79.988, G-Loss:0.000
[INFO] 2020-12-07 23:56:49,035:  > D-Loss:46.121, G-Loss:0.902
[INFO] 2020-12-08 00:00:25,771:  > D-Loss:7.258, G-Loss:0.153
